source,target,tgt_lng
Primal-Dual Particle Swarm Optimization (pdPSO),原始-对偶粒子群优化(pdPSO),
Dada and Ramlan (2018),Dada和Ramlan(2018),
Farm Fertility,农场肥力,
Shayanfar and Gharehchopogh (2018),Shayanfar和Gharehchopogh(2018),
Coyote Optimization Algorithm (COA),郊狼优化算法(COA),
Pierezan and Coelho (2018),Pierezan和Coelho(2018),
krill,磷虾,
Optimisation techniques,优化技术,
PID controller tuning parameters,PID控制器整定参数,
cost functions,代价函数,
Srinivas et al. (2014),Srinivas 等人 (2014),
Optimum tuning parameters of PID controller,PID控制器最优整定参数,
Z-N method,齐格勒-尼科尔斯方法,
Holland,Holland,
Cordón,Cordón,
Genetic Algorithm (GA),遗传算法 (GA),
Scatter Search (SS),分散搜索 (SS),
algorithm,算法,
insect swarm behavior,昆虫群体行为,
combinatorial issues,组合问题,
metaheuristic method,元启发式方法,
combinatorial optimization issues,组合优化问题,
artificial ants,人工蚂蚁,
Squirrel Search Algorithm (SSA),松鼠搜索算法,
Jain et al. (2019),Jain等人(2019),
Algorithm of the Innovative Gunner (AIG),创新炮手算法,
Pijarski and Kacejko (2019),Pijarski和Kacejko(2019),
Butterfly Optimization Algorithm (BOA),蝴蝶优化算法,
Arora and Singh (2019),Arora和Singh(2019),
Levy Flight Distribution (LFD),列维飞行分布,
Houssein et al. (2020),Houssein等人(2020),
Shuffled Shepherd Optimization Algorithm (SSOA),混洗牧羊人优化算法,
Li et al. (2014c),Li等人(2014c),
Centripetal Accelerated Particle Swarm Optimization (CAPSO),向心加速粒子群优化(CAPSO),
Beheshti and Shamsuddin (2014),Beheshti和Shamsuddin(2014),
Grey Wolf optimization (GWO),灰狼优化(GWO),
Mirjalili et al. (2014),Mirjalili等人(2014),
Bumble Bees Mating Optimization,大黄蜂交配优化,
Marinakis and Marinaki (2014),Marinakis和Marinaki(2014),
Crisscross Optimization Algorithm (COA),纵横交叉优化算法(COA),
Table 3. Comprehensive list of some popular metaheuristic algorithms (2015–2020),表3. 一些流行的元启发式算法综合列表（2015–2020）,
Zheng (2015),Zheng (2015),
Javidy et al. (2015),Javidy 等 (2015),
Eberhart and Kennedy (1995),Eberhart和Kennedy (1995),
Storn and Price (1997),Storn和Price (1997),
Cross Entropy Method (CEM),交叉熵方法 (CEM),
Rubinstein (1997),Rubinstein (1997),
Partial Optimization Metaheuristic Under Special Intensification Conditions (POPMUSIC),特殊强化条件下的部分优化元启发式 (POPMUSIC),
Taillard and Voss (2002),Taillard和Voss (2002),
Harmony Search (HS),和声搜索 (HS),
Geem et al. (2001),Geem等人 (2001),
Wolf Pack Search and Local Search (WPS-LS),狼群搜索与局部搜索（WPS-LS）,
Dong et al. (2019),Dong等人（2019）,
Chaotic Dolphin Swarm Algorithm (CDSA),混沌海豚群算法（CDSA）,
Qiao and Yang (2019),Qiao和Yang（2019）,
Emperor Penguins Colony (EPC),帝企鹅群落（EPC）,
Harifi et al. (2019),Harifi等人（2019）,
Pathfinder Algorithm (PFA),寻路者算法（PFA）,
Yapici and Cetinkaya (2019),Yapici和Cetinkaya（2019）,
Moscato,Moscato,
Qasem,Qasem,
Shamsuddin,Shamsuddin,
Ant Colony Algorithm (ACO),蚁群算法 (ACO),
Multi-Objective GA (MOGA),多目标遗传算法 (MOGA),
Reactive Search Optimization (RSO),反应式搜索优化 (RSO),
Battiti,Battiti,
Tecchiolli,Tecchiolli,
Raven Roosting Optimization Algorithm,乌鸦栖息优化算法,
Brabazon et al. (2016),Brabazon等人(2016),
FIFA World Cup Competitions Algorithm,国际足联世界杯竞争算法,
Razmjooy et al. (2016),Razmjooy等人(2016),
Al-Azza et al. (2016),Al-Azza等人(2016),
Smart Structured Algorithm (SSA),智能结构化算法,
Salmani and Eshghi (2017),Salmani和Eshghi(2017),
Opposition-Based Water Wave Optimization,基于对立的水波优化算法,
Flower Pollination Algorithm (FPA),花授粉算法 (FPA),
Yang (2012b),Yang (2012b),
Differential Search Algorithm (DSA),差分搜索算法 (DSA),
Civicioglu (2012),Civicioglu (2012),
Firefly Algorithm (FA) with chaos,混沌萤火虫算法 (FA),
Gandomi et al. (2013),Gandomi 等人 (2013),
Colliding Bodies Optimization (CBO),碰撞体优化算法 (CBO),
Kaveh and Mahdavi (2014),Kaveh 和 Mahdavi (2014),
2005,2005年,
Invasive Weed Optimization,入侵杂草优化,
IWO,IWO,
Mehrabian and Lucas,Mehrabian和Lucas,
2006,2006年,
Honey-bee Mating Optimization,蜜蜂交配优化,
HMO,HMO,
Haddad et al.,Haddad等人,
Chu et al.,Chu等人,
Intelligent Water Drops,智能水滴算法,
IWD,IWD,
Hosseini,Hosseini,
Imperialist Competitive Algorithm (ICA),帝国主义竞争算法,
Atashpaz-Gargari and Lucas,Atashpaz-Gargari和Lucas,
Water Drop Optimization (WDO),水滴优化算法,
Shah-Hosseini,Shah-Hosseini,
Monkey Search (MS),猴子搜索算法,
Mucherino and Seref,Mucherino和Seref,
Firefly Algorithm (FA),萤火虫算法,
Bootstrap Algorithm (BA),Bootstrap算法,
Hanseth and Aanestad,Hanseth和Aanestad,
Beyer and Schwefel,Beyer和Schwefel,
Bees Optimization (BO),蜜蜂优化算法,
Nakrani and Tovey,Nakrani和Tovey,
Glowworm Swarm Optimization (GSO),萤火虫群优化算法,
Krishnanand and Ghose,Krishnanand和Ghose,
H∞,H无穷,
Artificial neural networks,人工神经网络,
Plant Growth Optimization,植物生长优化,
Wang and Cheng (2008),Wang和Cheng (2008),
Biogeography - Based Optimization (BBO),生物地理学优化 (BBO),
Simon (2008),Simon (2008),
League Championship Algorithm (LCA),联赛冠军算法 (LCA),
Kashan (2009),Kashan (2009),
Gravitational Search Algorithm (GSA),引力搜索算法 (GSA),
Rashedi et al. (2009),Rashedi等人 (2009),
Spiral Optimization,螺旋优化,
Tamura and Yasuda,Tamura and Yasuda,
Artificial Neural Network,人工神经网络,
Abraham et al. (2006),Abraham 等 (2006),
Simulated Annealing (SA),模拟退火 (SA),
Kirkpatrick et al. (1983),Kirkpatrick 等 (1983),
Tabu Search (TS),禁忌搜索 (TS),
Glover (1997),Glover (1997),
Artificial Immune System (AIS),人工免疫系统 (AIS),
Farmer et al. (1986),Farmer 等 (1986),
armature controlled DC motor,电枢控制直流电机,
Z-N (step response),Z-N（阶跃响应）,
Kappa-Tau Continuous cycling,Kappa-Tau连续循环,
Yang and Deb (2009),Yang and Deb（2009）,
Bat Algorithm (BA),蝙蝠算法,
Yang (2010),Yang（2010）,
Fireworks algorithm,烟花算法,
Tan and Zhu (2010),Tan and Zhu（2010）,
Chemical Reaction Algorithm,化学反应算法,
Ramaswamy and Sbalzarini (2010),Ramaswamy and Sbalzarini（2010）,
Galaxy-based Search Algorithm (GbSA),基于星系的搜索算法,
Table 1,表1,
Taxonomy,分类法,
Bharat et al. (2019),Bharat 等人 (2019),
Fuzzy Logic (FL),模糊逻辑 (FL),
2022,2022,
Social Spider Algorithm (SSA),社会蜘蛛算法 (SSA),
James and Li (2015),James and Li (2015),
Bull Optimization Algorithm,公牛优化算法,
FINDIK (2015),FINDIK (2015),
Wang et al. (2015),Wang等人 (2015),
Rao (2016),Rao (2016),
Heuristic methods,启发式方法,
C-C method,C-C法,
AIS,AIS,
Cho,Cho,
metric,度量标准,
algorithms,算法,
Matlab/Simulink,Matlab/Simulink,
manual,手动,
SVM,支持向量机,
FL,模糊逻辑,
Ziegler Nichols,齐格勒-尼科尔斯,
